School Name	Address	Head Teacher
Abbey Church of England Academy (Junior)	Abbey Church of England Academy, Vicar Lane, Town Centre, Daventry, NN11 4GD,	Mrs Michelle McMahon
Abbeyfield School (Secondary)	Abbeyfield Secondary School, Mereway, Northampton, NN4 8BU	Mrs Claire Morrell
Abington Vale Primary School - Park Campus (Primary)	Abington Vale Primary School, Ashford Close, Northampton, NN3 3NQ	Mrs Laura Cichuta
Abington Vale Primary School - Stirling Campus (Primary)	Stirling House, 77 The Avenue, Cliftonville, Northampton, NN1 5BT	Mrs Laura Cichuta
Alfred Street Junior School, Rushden (Junior)	Alfred Street Junior School, Alfred Street, Rushden, NN10 9YS	Mr John Kidney
All Saints C of E Primary School and Nursery Unit (Primary, with Nursery Unit)	All Saints CofEPrimary School, Castle Street, Wellingborough, NN8 1LS	Mrs Emma Johnson
All Saints CEVA Primary School (Primary)	All Saints Primary School, Boughton Green Road, Northampton, NN2 7AJ	Mrs Claire Dunstan
Ashby Fields Primary School (Primary)	Ashby Fields Primary School, Wimborne Place, Ashby Fields, Daventry, NN11 0YP	Mrs Jacqueline Johnson
Ashton Church of England Primary School (Primary)	Ashton C Of E Primary School, Roade Hill, Ashton, NN7 2JH	Mrs Melanie Whitlock
Ashworth Prep School (Primary)	Lodge Park Academy, Shetland Way, Corby, NN17 2JH	
Badby School (Primary)	Badby Primary School, School Lane, Badby, NN11 3AJ	Mrs Lindsey Evans
Barby Church of England Primary School (Primary)	Barby Church Of England School, Daventry Road, Barby, Rugby, CV23 8TR	Mrs Angela Tilston
Barry Primary School (Primary, with Nursery Unit)	Barry Primary School, Barry Road, Northampton, NN1 5JS	Mrs Anne Smith
Barton Seagrave Primary School (Primary)	Barton Seagrave Primary School, Belvoir Drive, Barton Seagrave, Kettering, NN15 6QY	Mr Marek Krzanicki
Beanfield Primary School (Primary, with Nursery Unit and SEN Unit or Resourced Provision)	Beanfield Primary School, Farmstead Road, Corby, NN18 0LJ	Mr Leyton Smith
Billing Brook Special School (Special -All Through)	Billing Brook School, Penistone Road, Northampton, NN3 8EZ	Mrs Caroline Grant
Bishop Stopford School (Secondary)	Bishop Stopford C Of E School, Headlands, Kettering, NN15 6BJ	Mrs Margaret Holman
Blackthorn Primary School (Primary, with SEN Unit or Resourced Provision)	Blackthorn Primary School, Waingrove, Northampton, NN3 8EP	Ms Ceri Hathaway
Blakesley Church of England Primary School (Primary)	Blakesley C Of E Primary School, The Green, Blakesley, NN12 8RD	Ms Lucy Burman
Blisworth Community Primary School (Primary)	Blisworth Community Primary School, Courteenhall Road, Blisworth, Northampton, NN7 3DD	Mrs Celia Irwin
Boddington Church of England Primary School (Primary)	Boddington C Of E Primary Sch, 12 Church Road, Upper Boddington, NN11 6DL	Mrs Suzanne Lawrence
Boothville Primary School (Primary, with Nursery Unit)	Boothville Primary School, Booth Lane North, Northampton, NN3 6JG	Miss Rebecca Payne
Boughton Primary School (Primary)	Boughton Primary School, Moulton Lane, Boughton, NN2 8RG	Mr Paul Archer
Bozeat Community Primary School (Primary)	Bozeat Community Primary School, Harrold Road, Bozeat, Wellingborough, NN29 7LP	Ms Gurjit Virk
Bracken Leas Primary School (Primary)	Bracken Leas Primary School, Magdalen Meadows, Brackley, NN13 6LF	Mr Colin Gynn
Brackley Church of England Junior School (Junior)	Brackley C Of E Junior School, Manor Road, Brackley, NN13 6EE	Mrs Rosalyne Peet
Brambleside Community Primary School (Primary)	Brambleside Community School, Cleveland Avenue, Kettering, NN16 9JG	Mrs Danielle Warren
Bramptons Primary School (Primary)	The Bramptons Primary School, Harlestone Road, Chapel Brampton, NN6 8AW	Mr John Gillett
Braunston Church of England Primary School (Primary)	Braunston C Of E Primary School, Barby Road, Braunston, NN11 7HF	Mrs Susan Rigby
Briar Hill Primary School (Primary)	Briar Hill Primary School, Thorn Hill, Northampton, NN4 8SW	Mrs Tania Watts
Bridgewater Primary School (Primary)	Bridgewater Primary School, Bridgewater Drive, Northampton, NN3 3AF	Mrs Alison Harvey
Brigstock Lathams Church of England School (Primary)	Brigstock Lathams CE Primary School, Latham Street, Brigstock, NN14 3HD	Mr Nicholas Garley
Brington Primary School (Primary)	Brington Primary School, Hall Lane, Little Brington, NN7 4HX	Mr John Sarbutts
Brixworth CEVC Primary School (Primary)	Brixworth Voluntary Controlled Prim, Froxhill Crescent, Brixworth, NN6 9BG	Mr David Boucher
Brooke Weston Academy (Secondary)	Brooke Weston Academy, Coomb Road, Corby, NN18 8LA	Ms Trish Stringer
Broughton Primary School (Primary)	Broughton Primary School, Cransley Hill, Broughton, Kettering, NN14 1NB	Mrs Claire Shortt
Bugbrooke Community Primary School (Primary)	Bugbrooke Community Primary School, High Street, Bugbrooke, Northampton, NN7 3PA	Mrs Michele Bramble
Byfield Primary School (Primary)	Byfield Primary School, Bell Lane, Byfield, Daventry, NN11 6US	Mr Andrew Ward
Campion School (Secondary)	Campion School, Kislingbury Road, Bugbrooke, Northampton, NN7 3QG	Mrs Claire Whitmore
Camrose Sure Start Children's Centre (Nursery)	Camrose Centre, Tenby Road, Northampton, NN5 7DF	Mrs Anette Whitehouse
Caroline Chisholm School (All Through School, with SEN Unit or Resourced Provision)	Caroline Chisholm School, Wooldale Road, Northampton, NN4 6TP	Mr Anthony Downing
Castle Academy (Primary)	Castle Academy, St Georges Street, Northampton, NN1 2TR	Mrs Lorna Beard
Cedar Road Primary School (Primary)	Cedar Road Primary School, Cedar Road East, Northampton, NN3 2JF,	Mrs Kay Gerrett
Chacombe C of E Voluntary Aided Primary Academy (Primary)	Chacombe C Of E Aided School, Thorpe Road, Chacombe, OX17 2JA	Miss Cathy Godden
Chenderit School (Secondary)	Chenderit School, Archery Road, Middleton Cheney, OX17 2QR	Mrs Jane Cartwright
Chiltern Primary School (Primary)	Chiltern Primary School, Chiltern Way, Northampton, NN5 6BW	Mrs Penny Howell
Chipping Warden Primary Academy (Primary)	Chipping Warden Primary School, Byfield Road, Chipping Warden, Banbury , Oxfordshire, OX17 1LD	Mrs Samantha Dadd
Clipston Endowed Primary School (Primary)	Clipston Endowed Primary School, High Street, Clipston, LE16 9RU	Mrs Emma Mercer
Cogenhoe Primary School (Primary)	Cogenhoe Primary School, York Avenue, Cogenhoe, NN7 1NB	Mrs Caroline Stewart
Collingtree CEVA School (Primary)	Collingtree Primary School, Lodge Avenue, Northampton, NN4 0NQ	Ms Halina Sikabofori
Corby Business Academy (Secondary, with SEN Unit or Resourced Provision)	Corby Business Academy, Gretton Road, Weldon, NN17 5EB	John Henrys
Corby Old Village Primary School (Primary)	Old Village Primary School, High Street, Corby, NN17 1UU	Miss Paula Thomas
Corby Primary Academy (Primary)	Corby Primary Academy, Butland Road, Corby, NN18 8QA	Mrs Nikki Lamond
Corby Technical School (Secondary)	Corby Technical School, Cottingham Road, Corby, NN17 1TD	Ms Angela Reynolds
Cosgrove Village Primary School (Primary)	Cosgrove Primary School, Bridge Road, Cosgrove, MK19 7JH	Mr David Rosevear
Cottingham Church of England Primary School (Primary)	Cottingham Primary School, Berryfield Road, Cottingham, LE16 8XB	Mrs Emmaline Tayler
Cranford Church of England Primary School (Primary)	Cranford C Of E Primary School, Church Lane, Cranford, Kettering, NN14 4AE	Mrs Julie Grey
Crick Primary School (Primary)	Crick Primary School, Main Road, Crick, Northampton, NN6 7TU	Mrs Julie Neill
Croughton All Saints Cof E Primary School (Primary)	Croughton C Of E School, High Street, Croughton, NN13 5LT	Mrs Helen Goulder
Croyland Children's Centre & Nursery School (Nursery, with SEN Unit or Resourced Provision)	Croyland Nursery School, Croyland Road, Wellingborough, NN8 2AX	Miss Lyndsey Barnett
Croyland Primary School (Primary, with SEN Unit or Resourced Provision)	Croyland Primary School, Croyland Road, Wellingborough, NN8 2AX	Ms Lucy Deakin
Culworth Church of England Primary School (Primary)	Culworth C Of E School, The Green, Culworth, OX17 2BB	Mrs Suzanne Lawrence
Danesholme Infant School (Infant, with Nursery Unit)	Danesholme County Infants School, Motala Close, Corby, NN18 9DT	Mrs Sandra Hunter
Danesholme Junior School (Junior)	Danesholme County Junior School, Motala Close, Corby, NN18 9DT	Mrs Karen Rolf
Danetre and Southbrook Learning Village (All Through School)	Daventry Danetre School, Hawke Road, Southbrook, Daventry, NN11 4LJ	Mr David Howell
Daventry UTC (Secondary)	Daventry UTC, Ashby Road, Ashby Fields, Daventry, NN11 0QE,	Mr David Edmondson
Deanshanger Primary School (Primary)	Deanshanger Primary School, The Green, Deanshanger, MK19 6HJ	Mrs Rachel Rice
Delapre Primary School (Primary)	Delapre Primary School, Rothersthorpe Road, Northampton, NN4 8JA	Mr Harry Portrey
Denfield Park Primary School (Primary, with Nursery Unit and SEN Unit or Resourced Provision)	Denfield Park Primary School, Victoria Road, Rushden, NN10 0DA	Mrs Angela Griffiths
Denton Primary School (Primary)	Denton Primary School, Vicarage Lane, Denton, NN7 1DT	Mrs Jillian Gardner
Duston Eldean Primary School (Primary)	Duston Eldean Primary, Main Road, Duston, Northampton, NN5 6PP	Mrs Cathy Moore
Earl Spencer Primary School (Primary)	Earl Spencer Primary School, Streatfeild Road, Northampton, NN5 7DE	Mr Mark Rapps
Earls Barton Infant School (Infant)	Infant School Earls Barton, 1-3 Broad Street, Earls Barton, Northampton, NN6 0ND	Mrs Pauline Shacklady
Earls Barton Junior School (Junior)	Junior School Earls Barton, 5 Broad Street, Earls Barton, Northampton, NN6 0ND	Mr Ian Pinnock
East Haddon Church of England Primary School (Primary)	East Haddon C Of E Primary School, Church Lane, East Haddon, NN6 8DB	Ms Claire Truslove
East Hunsbury Primary School (Primary, with SEN Unit or Resourced Provision)	East Hunsbury Primary School, Penvale Road, Northampton, NN4 0QW	Mrs Rita Arundel
Eastfield Academy (Primary)	Eastfield Primary School, St Albans Close, Northampton, NN3 2RJ	Mr Christopher Hill
Easton Garford C of E School (Primary)	Easton Garford Endowed Church Of En, New Road, Easton On The Hill, PE9 3NN	Mr Scott Dainty
Ecton Brook Primary School (Primary)	Ecton Brook Primary School, Ecton Brook Road, Northampton, NN3 5DY	Mrs Julia Kedwards
Ecton Brook Primary School-Bellinge Campus (Primary)	Bellinge Campus, Fieldmill Road, Northampton, NN3 9DG	Mrs Julia Kedwards
Ecton Village Primary School (Primary)	Ecton Village Primary School, West Street, Ecton, Wellingborough, NN6 0QF	Mrs Esther McIntosh
Exeter - A Learning Community Academy (Primary)	Exeter - A Learning Community, Brayford Avenue, Corby, NN18 8DL	Mrs Ellen Wallace
Fairfields School (Special - Primary)	Fairfields School, Trinity Avenue, Northampton, NN2 6JN	Mrs Karen Lewis
Falconer's Hill Academy (Primary)	Falconers Hill Junior School, Ashby Road, Ashby Fields, Daventry, NN11 0QF	Mr Matthew Reetz
Falconer's Hill Infant School (Infant)	Falconers Hill Infant School, Ashby Road, Ashby Fields, Daventry, NN11 0QF	Mrs Coleen Wilkins
Farthinghoe Community Primary School (Primary)	Farthinghoe Primary School, Main Road, Farthinghoe, NN13 5PA	Mrs Fiona Toman
Finedon Infant School (Infant)	Finedon Infant School, Orchard Road, Finedon, Wellingborough, NN9 5JG	Mrs Avril Wise
Finedon Mulso CEVA Junior School (Junior)	Finedon Mulso Church Of England Jun, Wellingborough Road, Finedon, Wellingborough, NN9 5JT	Mrs Avril Wise
Flore Church of England Primary School (Primary)	Flore Church Of England Primary Sch, The Avenue, Flore, NN7 4LZ	Mrs Janet Stoppani
Freeman's Endowed CE Junior Academy (Junior)	Freemans Endowed C Of E Junior Scho, Westfield Road, Wellingborough, NN8 3HD	Mr Janis Zakis
Friars Academy (Special - Secondary)	Friars Academy, Friars Close, Wellingborough, NN8 2LA	Mrs Suzzanne Ijewsky
Gayton Church of England Primary School (Primary)	Gayton C Of E Primary School, Bugbrooke Road, Gayton, Northampton, NN7 3EU	Mrs Celia Irwin
Geddington Church of England Primary School (Primary)	Geddington Church Of England , Wood Street, Geddington, Kettering, NN14 1BG	Mr Martin Adamson
Glapthorn CE (Controlled) School (Lower)	Glapthorn Church Of England Primary, Glapthorn, PE8 5BQ	Mrs Katherine Towns
Gloucester Nursery School (Nursery)	Gloucester Nursery School, Camborne Close, Northampton, NN4 8PH	Miss Julia Mann
Grange Primary Academy (Primary)	Grange Primary School, Dorothy Road, Kettering, NN16 0PL	Mr Neil Aiken
Great Addington C. E. (A) Primary (Primary)	Great Addington Church Of England P, Woodford Road, Great Addington, NN14 4BS	Mr Richard Meekings
Great Creaton Primary School (Primary)	Great Creaton Primary School, 18 Welford Road, Creaton, NN6 8NH	Mrs Emma Mercer
Great Doddington Primary (Primary)	Great Doddington County Primary Sch, Church Lane, Great Doddington, Wellingborough, NN29 7TR,	Mrs Monica Eeuwens
Greatworth Primary School (Primary)	Greatworth Cp School, Helmdon Road, Greatworth, OX17 2DR	Mrs Fiona Toman
