code	name	day	period	start_date	weeks	location	venue	places_available	full_fee	remitted_fee
S5NCC208D	Dowsing With Crystal	Wednesday	Evening	11/02/2015	1	Northampton	Caroline Chisholm School	1	£13.00	£13.00
S1NAC210D0	Aromatherapy In Everyday Use	Wednesday	Evening	11/02/2015	1	Northampton	The Northampton Academy	7	£9.00	£5.00
S1KBA501A0	Sugar Flowers For Beginners	Saturday	Morning	14/02/2015	1	Kettering	Buccleuch Academy	2	£45.00	£22.08
S1NCC519B1	Blogging For Beginners	Saturday	Morning	21/02/2015	1	Northampton	Caroline Chisholm School	3	£32.00	£9.08
S1NWM020D0	1930's Hair Styles	Monday	Evening	23/02/2015	1	Northampton	Abington Bowling Club	3	£13.50	£7.00
S1NCC110A0	Healthy Cookery For A New You	Tuesday	Evening	24/02/2015	5	Northampton	Caroline Chisholm School	6	£50.00	£11.80
S1NWM251D1	First Aid Techniques - Basic	Wednesday	Evening	25/02/2015	1	Northampton	Abington Bowling Club	3	£31.25	£26.00
S1WHI200B1	Chinese (Mandarin) Beginners	Wednesday	Evening	25/02/2015	5	Brackley	Whitfield Village Hall	8	£50.00	£11.80
S1KBA227D0	Balancing Hormones And The Menopause	Wednesday	Evening	25/02/2015	1	Kettering	Buccleuch Academy	9	£9.00	£5.00
S1NCC301B0	An Introduction To Garden Design	Thursday	Evening	26/02/2015	6	Northampton	Caroline Chisholm School	10	£59.00	£13.16
S1NCC302A1	Italian Cookery - Basics	Thursday	Evening	26/02/2015	2	Northampton	Caroline Chisholm School	12	£32.00	£9.08
S1SMA303A0	Silk Painting	Thursday	Evening	26/02/2015	6	Northampton	Malcolm Arnold Academy	9	£59.00	£13.16
S1WCH501A0	Digital Photography And Editing Day	Saturday	Morning	28/02/2015	1	Wellingborough	Sir Christopher Hatton Academy	7	£32.00	£9.08
S1WCH502A1	Japanese Cookery Introduction	Saturday	Morning	28/02/2015	1	Wellingborough	Sir Christopher Hatton Academy	10	£32.00	£9.08
S1NFP505D0	Colour Style and Image Review	Saturday	Morning	28/02/2015	1	Northampton	The Four Pears	3	£60.00	£25.00
S1NCC512C1	A Taste Of Bridge - Complete Novice	Saturday	Morning	28/02/2015	1	Northampton	Caroline Chisholm School	10	£23.00	£7.72
S5NCC532D	Reiki Level 1 - Certificated	Saturday	Morning	28/02/2015	2	Northampton	Caroline Chisholm School	6	£100.00	£100.00
S1KHR505A0	Wedding Flower Designs	Saturday	Morning	28/02/2015	1	Wellingborough	Knuston Hall	1	£72.00	£49.08
S1SMA510A0	Embroidery	Saturday	Morning	28/02/2015	1	Northampton	Malcolm Arnold Academy	9	£40.00	£17.08
S1OKM500A0	Drawing And Painting	Saturday	Morning	28/02/2015	1	East Northants	Oundle and Kings Cliffe Middle School	10	£32.00	£9.08
S1ACC003D0	Practical Pet Dog Grooming	Monday	Evening	02/03/2015	4	Northampton	Abington Community Centre	7	£23.00	£7.72
S1NWM031D3	First Aid At Work Certificate - Level 3	Monday	Morning	02/03/2015	1	Northampton	Abington Bowling Club	5	£126.25	£40.30
S1AAC102D0	Practical Pet Dog Grooming	Tuesday	Afternoon	03/03/2015	4	Northampton	Abington Community Centre	7	£23.00	£7.72
S1MCP101B0	Buying And Selling On Ebay	Tuesday	Evening	03/03/2015	3	Brackley	Middleton Cheney Primary School	12	£32.00	£9.08
S1BRC201A1	Vintage Shabby Chic	Wednesday	Morning	04/03/2015	4	Northampton	Brixworth Country Park	5	£53.00	£14.80
S1CHC450D0	Clicker Training For Pet Dogs	Friday	Evening	06/03/2015	4	Northampton	Camp Hill Community Centre	4	£23.00	£7.72
S1WCH526A0	Taste Of Spain	Saturday	Morning	07/03/2015	1	Wellingborough	Sir Christopher Hatton Academy	4	£32.00	£9.08
S1NCC515D0	Casualty Make-Up Effects	Saturday	Morning	07/03/2015	1	Northampton	Caroline Chisholm School	4	£31.50	£12.40
S5NCC598A	Workshop Access - Jewellery	Saturday	Morning	07/03/2015	1	Northampton	Caroline Chisholm School	7	£35.00	£35.00
S1BVH500B1	Beginning Astronomy	Saturday	Morning	07/03/2015	1	South Northants	Blakesley & Woodend Village Hall	6	£32.00	£9.08
S1CBW502A0	Pasta And Ravioli	Saturday	Morning	07/03/2015	1	Corby	Brooke Weston	3	£32.00	£9.08
S1NAC545D0	Autism And Relationships	Saturday	Morning	07/03/2015	1	Northampton	The Northampton Academy	5	£27.50	£8.40
S5NAC559A	Workshop Access - Pottery	Saturday	Morning	07/03/2015	1	Northampton	The Northampton Academy	12	£35.00	£35.00
S1DVM579A1	Starting To Draw And Paint - Beginners	Saturday	Morning	07/03/2015	1	Daventry	Daventry Methodist Church Rooms	11	£32.00	£9.08
S1NWM603D0	Meditation, Relaxation & Breathing Tech	Sunday	Morning	08/03/2015	1	Northampton	Abington Bowling Club	11	£13.50	£7.00
S1NWM013D0	Swedish Body Massage -  Back	Monday	Afternoon	09/03/2015	1	Northampton	Abington Bowling Club	3	£9.00	£5.00
S1NWM052D0	Japanese Face Massage - Introduction	Monday	Evening	09/03/2015	1	Northampton	Abington Bowling Club	4	£9.00	£5.00
S5NFP150D	Relaxation After Lunch (Lunch Included)	Tuesday	Afternoon	10/03/2015	1	Northampton	The Four Pears	15	£28.00	£28.00
S1NWM238D0	Infant And Child Resuscitation	Wednesday	Evening	11/03/2015	1	Northampton	Abington Bowling Club	9	£11.25	£6.00
S1WVC305D0	Laughter & Well-Being Workshop	Thursday	Evening	12/03/2015	1	Wellingborough	Victoria Centre	19	£9.00	£5.00
S1NAC343D0	NLP - Presentation Skills	Thursday	Evening	12/03/2015	1	Northampton	The Northampton Academy	6	£9.00	£5.00
S1WWR510A0	Woodcarving Workshop	Saturday	Morning	14/03/2015	1	Wellingborough	Wrenn School	2	£32.00	£9.08
S1NCC514C2	Cycling - Confidence On The Road	Saturday	Afternoon	14/03/2015	3	Northampton	Caroline Chisholm School	5	£32.00	£9.08
S1KIS501D0	Mindfulness - Reduce Stress Levels	Saturday	Morning	14/03/2015	1	Kettering	Kettering Ritz	9	£27.50	£8.40
S1NCC503A0	Cook With Your Kids - Mothers Day Treats	Saturday	Morning	14/03/2015	1	Northampton	Caroline Chisholm School	8	£18.50	£7.04
S1NCC505B1	Chinese (Mandarin) Beginners	Saturday	Morning	14/03/2015	1	Northampton	Caroline Chisholm School	11	£32.00	£9.08
S1NCC525D0	Threading - Removing Hair With Cotton	Saturday	Afternoon	14/03/2015	1	Northampton	Caroline Chisholm School	10	£13.50	£7.00
S1KHR502A0	Vintage Crafts For Mothers Day	Saturday	Morning	14/03/2015	1	Wellingborough	Knuston Hall	12	£50.00	£27.08
S1OKM501A0	Silk Painting	Saturday	Morning	14/03/2015	1	East Northants	Oundle and Kings Cliffe Middle School	7	£42.00	£19.08
S1DVM500B0	Creative Writing - Editing Your Fiction	Saturday	Morning	14/03/2015	1	Daventry	Daventry Methodist Church Rooms	12	£32.00	£9.08
S5BRC601C	Cycle Tour Brampton Valley Way 30 Miles	Sunday	Morning	15/03/2015	1	Northampton	Brixworth Country Park	12	£50.00	£50.00
S1NCC220D0	Healthy Heart Nutrition Tips	Wednesday	Evening	18/03/2015	1	Northampton	Caroline Chisholm School	13	£9.00	£5.00
S5DVM210D	Dowsing With Crystal	Wednesday	Evening	18/03/2015	1	Daventry	Danetre And Southbrook Learning Village	12	£13.00	£13.00
S1NCC555D0	Indian Head Massage - Introduction	Saturday	Morning	21/03/2015	1	Northampton	Caroline Chisholm School	9	£27.50	£8.40
S1KHR503D0	Colour Style and Image Review	Saturday	Morning	21/03/2015	1	Wellingborough	Knuston Hall	8	£60.00	£25.00
S1KMC500C1	Archery For Beginners	Saturday	Afternoon	21/03/2015	1	Kettering	Montsaye Community Sports Centre	19	£32.00	£9.08
S1KMC599C1	Archery For Parent And Child	Saturday	Afternoon	21/03/2015	1	Kettering	Montsaye Community Sports Centre	6	£45.50	£22.58
S1SMA501A0	Screen Printing	Saturday	Morning	21/03/2015	1	Northampton	Malcolm Arnold Academy	1	£42.00	£19.08
S1CLP501D0	Personal Beauty Care	Saturday	Morning	21/03/2015	1	Corby	Lodge Park Academy	9	£27.50	£8.40
S1KBA500A0	Digital Photography And Editing Day	Saturday	Morning	21/03/2015	1	Kettering	Buccleuch Academy	10	£32.00	£9.08
S1KBA502A0	Perfect Pastry	Saturday	Morning	21/03/2015	1	Kettering	Buccleuch Academy	5	£32.00	£9.08
S5GRH601C	Adventure Challenge Day And Lunch	Sunday	Morning	22/03/2015	1	Wellingborough - Others	Grendon Hall	12	£45.00	£45.00
S1NWM098D2	First Aid Certificate Level 3 Paediatric	Monday	Morning	23/03/2015	1	Northampton	Abington Bowling Club	10	£92.50	£31.75
S1CVH000B0	Return To Learn Refresh Your Skills	Monday	Evening	23/03/2015	10	Corby	Brooke Weston	15	£95.00	£18.60
S1DVM232D0	Seated Back Massage	Wednesday	Evening	25/03/2015	1	Daventry	Daventry Methodist Church Rooms	9	£9.00	£5.00
S1NCC321D0	Oriental Hand Massage	Thursday	Evening	26/03/2015	1	Northampton	Caroline Chisholm School	8	£9.00	£5.00
S1WLM501B2	Creative Writing - Intermediate	Saturday	Morning	28/03/2015	1	Wellingborough	Stanwick Lakes	13	£44.00	£21.08
S1NWM570D0	Thai Compression Massage-Back Only	Saturday	Morning	28/03/2015	1	Northampton	Abington Bowling Club	5	£27.50	£8.40
S1NAC502D0	Hair - Ideas For Proms Night	Saturday	Morning	28/03/2015	1	Northampton	The Northampton Academy	8	£9.00	£5.00
S1NAC520B0	Design And Create A Website	Saturday	Morning	28/03/2015	1	Northampton	The Northampton Academy	9	£32.00	£9.08
S5GRH501C	Adrenaline Day And Lunch	Saturday	Morning	28/03/2015	1	Wellingborough - Others	Grendon Hall	12	£45.00	£45.00
U1NDS091B1	Computing For Beginners	Monday	Evening	13/04/2015	6	Northampton	The Duston School	12	£65.00	£20.00
U1NCC067B1	Beginners Guide To Archaeology	Monday	Evening	13/04/2015	10	Northampton	Caroline Chisholm School	16	£105.00	£30.00
U5NPC001A	Silver Jewellery Basics 1:1 Tuition	Monday	Morning	13/04/2015	1	Northampton	Studio 33	12	£100.00	£100.00
U1TTF086B1	Chinese (Mandarin) Beginners	Monday	Evening	13/04/2015	5	South Northants - Towcester	The Forum, Towcester	16	£55.00	£17.50
