name	address	city	geo_location	telephone	fax	email
Abington Library	Lindsay Avenue	Northampton	NN3 2SJ	0300-126-1000	01604-416385	ablib@northamptonshire.gov.uk
Brackley Library	Manor Road	Brackley	NN13 6AJ	0300-126-1000	01280-701627	braclib@northamptonshire.gov.uk
Brixworth Library	Spratton Road	Brixworth	NN6 9DS	0300-126-1000	01604-882154	brixlib@northamptonshire.gov.uk
Burton Latimer Library	High Street	Burton Latimer	NN15 5RH	0300-126-1000	NA	burtlib@northamptonshire.gov.uk
Corby Library	The Corby Cube, Parkland Gateway	George Street, Corby	NN17 1QG	0300-126-1000	NA	corlib@northamptonshire.gov.uk
Danesholme Library	14 Neighbourhood Centre	Corby	NN18 9EJ	0300-126-1000	NA	danelib@northamptonshire.gov.uk
Daventry Library	North Street	Daventry	NN11 4GH	0300-126-1000	01327-300501	davlib@northamptonshire.gov.uk
Deanshanger Library	Little London	Deanshanger	MK19 6HT	0300-126-1000	NA	deanlib@northamptonshire.gov.uk
Desborough Library	High Street	Desborough	NN14 2QS	0300-126-1000	NA	deslib@northamptonshire.gov.uk
Duston Library	Pendle Road	Northampton	NN5 6DT	0300-126-1000	NA	dustlib@northamptonshire.gov.uk
Earls Barton Library	Broad Street	Earls Barton	NN6 0ND	0300-126-1000	NA	bartlib@northamptonshire.gov.uk
Far Cotton Library	The REC Centre, Towcester Road	Far Cotton, Northampton	NN4 8LG	0300-126-1000	NA	cotlib@northamptonshire.gov.uk
Finedon Library	Berry Green Road	Finedon	NN9 5JL	0300-126-1000	NA	finlib@northamptonshire.gov.uk
Higham Ferrers Library	Midland Road	Higham Ferrers	NN10 8DN	0300-126-1000	NA	highlib@northamptonshire.gov.uk
Hunsbury Library	Overslade Close	Northampton	NN4 0RZ	0300-126-1000	NA	hunslib@northamptonshire.gov.uk
Irchester Library	High Street	Irchester	NN29 7AA	0300-126-1000	NA	irchlib@northamptonshire.gov.uk
Irthlingborough Library	High Street	Irthlingborough	NN9 5PU	0300-126-1000	NA	irthlib@northamptonshire.gov.uk
Kettering Library	Sheep Street	Kettering	NN16 0AY	0300-126-1000	(01536)-411349	ketlib@northamptonshire.gov.uk
Kingsthorpe Library	Welford Road	Northampton	NN2 8AG	0300-126-1000	NA	kinglib@northamptonshire.gov.uk
Long Buckby Library	Station Road	Long Buckby	NN6 7QB	0300-126-1000	01327-842796	bucklib@northamptonshire.gov.uk
Middleton Cheney Library	Main Road	Middleton Cheney	OX17 2PD	0300-126-1000	NA	midlib@northamptonshire.gov.uk
Moulton Library	Doves Lane	Moulton	NN3 7TA	0300-126-1000	NA	moultlib@northamptonshire.gov.uk
Northamptonshire Central Library	Abington Street	Northampton	NN1 2BA	0300-126-1000	01604-462055	centlib@northamptonshire.gov.uk
Oundle Library	Glapthorn Road	Oundle	PE8 4JA	0300-126-1000	NA	oundlib@northamptonshire.gov.uk
Raunds Library	High Street	Raunds	NN9 6HT	0300-126-1000	NA	raunlib@northamptonshire.gov.uk
Roade Library	High Street	Roade	NN7 2NW	0300-126-1000	NA	roadelib@northamptonshire.gov.uk
Rothwell Library	Market Hill	Rothwell	NN14 6EP	0300-126-1000	NA	rothlib@northamptonshire.gov.uk
Rushden Library	Newton Road	Rushden	NN10 0PT	0300-126-1000	01933-312944	rushlib@northamptonshire.gov.uk
St James Library	138 St James Road	Northampton	NN5 5LQ	0300-126-1000	NA	jameslib@northamptonshire.gov.uk
Thrapston Library	High Street	Thrapston	NN14 4JJ	0300-126-1000	NA	thraplib@northamptonshire.gov.uk
Towcester Library	Richmond Road	Towcester	NN12 6EX	0300-126-1000	NA	towlib@northamptonshire.gov.uk
Wellingborough Library	Pebble Lane	Wellingborough	NN8 1AS	0300-126-1000	01933-442060	wellib@northamptonshire.gov.uk
Weston Favell Library	Weston Favell Centre	Northampton	NN3 8JZ	0300-126-1000	01604-403112	westlib@northamptonshire.gov.uk
Wollaston Library	Newton Road	Wollaston	NN29 7QN	0300-126-1000	NA	wollib@northamptonshire.gov.uk
Woodford Halse Library	Village Hall	Woodford Halse	NN11 3RL	0300-126-1000	NA	woodlib@northamptonshire.gov.uk
Wootton Library	Wootton Community Centre, Curtlee Hill, Wootton	Northampton	NN4 6ED	0300-126-1000	NA	woollib@northamptonshire.gov.uk
